cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,concrete_compressive_strength
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28,33.66
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28,17.54
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.92
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,3,23.52
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,3,11.98
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180,51.04
387.0,20.0,94.0,157.0,11.6,938.0,845.0,7,41.67
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28,43.38
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270,67.11
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,56,42.55
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3,15.87
236.0,157.0,0.0,192.0,0.0,972.6,749.1,90,47.78
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7
136.0,162.0,126.0,172.0,10.0,923.0,764.0,28,29.07
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28,38.8
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62
322.0,0.0,0.0,203.0,0.0,974.0,800.0,14,20.77
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,14,25.37
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91
475.0,0.0,0.0,162.0,9.5,1044.0,662.0,28,58.52
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7,21.86
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.2
250.0,0.0,95.7,191.8,5.3,948.9,857.2,56,39.64
155.0,184.0,143.0,194.0,9.0,880.0,699.0,28,28.99
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28,24.48
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,66.7
290.4,0.0,96.2,168.1,9.4,961.2,865.0,28,34.74
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14,59.76
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,28.47
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,90,58.78
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28,25.73
280.0,129.0,100.0,172.0,9.0,825.0,805.0,28,52.82
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180,34.49
297.8,137.2,106.9,201.3,6.0,878.4,655.3,28,53.52
194.7,0.0,100.5,170.2,7.5,998.0,901.8,14,24.28
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28,33.0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01
290.4,0.0,96.2,168.1,9.4,961.2,865.0,56,45.08
305.3,203.5,0.0,203.5,0.0,965.4,631.0,90,54.6
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
289.0,0.0,0.0,192.0,0.0,913.2,895.3,90,32.07
261.9,110.5,86.1,195.4,5.0,895.2,732.6,28,33.72
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
298.0,0.0,107.0,186.0,6.0,879.0,815.0,28,42.64
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,22.53
148.5,139.4,108.6,192.7,6.1,892.4,780.0,28,23.7
149.0,139.0,109.0,193.0,6.0,892.0,780.0,28,23.69
339.0,0.0,0.0,197.0,0.0,968.0,781.0,14,27.04
260.0,101.0,78.0,171.0,10.0,936.0,763.0,28,49.77
520.0,0.0,0.0,175.0,5.2,870.0,805.0,28,51.02
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90,43.38
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.52
355.0,19.0,97.0,145.0,13.1,967.0,871.0,28,44.03
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28,30.88
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28,41.37
233.8,0.0,94.6,197.9,4.6,947.0,852.2,56,27.66
288.0,192.0,0.0,192.0,0.0,932.0,717.8,7,23.52
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.06
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3,13.12
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,31.35
203.5,305.3,0.0,203.5,0.0,963.4,630.0,90,51.86
350.0,0.0,0.0,203.0,0.0,974.0,775.0,7,18.13
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28,26.4
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,56.5
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,100,52.96
153.1,145.0,113.0,178.5,8.0,867.2,824.0,28,26.23
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7,7.68
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56,36.64
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3,10.76
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,7,26.06
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35
321.0,164.0,0.0,190.0,5.0,870.0,774.0,28,57.21
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28,26.86
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
162.0,207.0,172.0,216.0,10.0,822.0,638.0,28,39.84
359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,23.64
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180,71.62
366.0,187.0,0.0,191.0,7.0,824.0,757.0,28,65.91
233.8,0.0,94.6,197.9,4.6,947.0,852.2,14,22.14
359.0,19.0,141.0,154.0,10.9,942.0,801.0,7,38.61
296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,31.42
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56,38.56
491.0,26.0,123.0,201.0,3.9,822.0,699.0,28,57.92
154.0,174.0,185.0,228.0,7.0,845.0,612.0,28,24.34
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56,31.54
277.1,0.0,97.4,160.6,11.8,973.9,875.6,28,48.28
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3,14.7
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,56,31.72
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28,30.57
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28,33.8
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81
284.0,15.0,141.0,179.0,5.5,842.0,801.0,56,44.52
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,28,22.49
152.0,0.0,112.0,184.0,8.0,992.0,816.0,28,12.18
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14,36.99
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,33.08
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,37.42
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,52.2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
276.4,116.0,90.3,179.6,8.9,870.1,768.3,28,44.28
356.0,119.0,0.0,160.0,9.0,1061.0,657.0,28,59.0
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28,40.06
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
321.3,164.2,0.0,190.5,4.6,870.0,774.0,28,57.22
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
314.0,145.0,113.0,179.0,8.0,869.0,690.0,28,46.23
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56,34.2
143.6,0.0,174.9,158.4,17.9,942.7,844.5,28,15.42
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,47.1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28,64.02
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28,15.53
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,100,40.15
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14,33.36
148.0,0.0,182.0,181.0,15.0,839.0,884.0,28,15.52
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28,13.29
254.0,0.0,0.0,198.0,0.0,968.0,863.0,90,26.94
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
424.0,22.0,132.0,168.0,8.9,822.0,750.0,7,40.29
150.0,237.0,0.0,174.0,12.0,1069.0,675.0,28,37.43
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91,70.7
173.0,116.0,0.0,192.0,0.0,946.8,856.8,7,11.39
310.0,142.8,0.0,167.9,10.0,914.3,804.0,28,45.3
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28,24.54
277.0,117.0,91.0,191.0,7.0,946.0,666.0,28,43.57
393.0,0.0,0.0,192.0,0.0,940.6,785.6,3,19.2
272.8,105.1,81.8,209.7,9.0,904.0,679.7,28,37.17
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.2
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,14,21.6
393.0,0.0,0.0,192.0,0.0,940.6,785.6,28,39.6
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7,8.0
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28,44.61
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,100,40.57
491.0,26.0,123.0,210.0,3.9,882.0,699.0,56,59.59
277.1,0.0,97.4,160.6,11.8,973.9,875.6,56,51.04
166.0,260.0,0.0,183.0,13.0,859.0,827.0,28,37.91
305.3,203.5,0.0,203.5,0.0,965.4,631.0,3,14.14
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28,57.23
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,10.38
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0
374.3,0.0,0.0,190.2,6.7,1013.2,730.4,28,39.06
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,3,19.52
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,7,24.07
210.7,316.1,0.0,185.7,0.0,977.0,689.3,28,37.81
491.0,26.0,123.0,210.0,3.9,882.0,699.0,28,55.55
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,28,31.97
313.0,145.0,0.0,178.0,8.0,867.0,824.0,28,44.39
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28,32.04
313.3,145.0,0.0,178.5,8.0,867.2,824.0,28,40.93
366.0,187.0,0.0,191.3,6.6,824.3,756.9,28,65.91
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
288.0,121.0,0.0,177.0,7.0,908.0,829.0,28,42.13
295.7,0.0,95.6,171.5,8.9,955.1,859.2,28,39.94
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100,40.71
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3,6.94
359.0,19.0,141.0,154.0,10.9,942.0,801.0,7,35.75
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1,12.64
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14,25.48
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,26.91
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,17.54
133.1,210.2,0.0,195.7,3.1,949.4,795.3,28,28.94
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28,38.63
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,32.88
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,14,19.42
151.0,0.0,185.0,167.0,16.0,1074.0,678.0,28,13.46
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14,31.35
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14,36.94
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90,26.32
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,28,33.94
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28,16.5
202.0,11.0,141.0,206.0,1.7,942.0,801.0,7,15.07
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7,9.62
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,20.42
359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,25.12
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,28,52.5
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
322.0,149.0,0.0,186.0,8.0,951.0,709.0,28,52.42
387.0,20.0,94.0,157.0,13.9,938.0,845.0,3,25.51
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28,25.75
254.0,0.0,0.0,198.0,0.0,968.0,863.0,365,29.79
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,13.66
491.0,26.0,123.0,210.0,3.9,882.0,699.0,3,25.61
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,29.89
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28,23.85
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,100,47.74
290.4,0.0,96.2,168.1,9.4,961.2,865.0,3,22.5
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
139.9,132.6,103.3,200.3,7.4,916.0,753.4,28,36.44
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,17.34
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3,13.33
331.0,0.0,0.0,192.0,0.0,879.0,825.0,3,13.52
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,51.02
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,22.9
249.1,0.0,98.8,158.1,12.8,987.8,889.0,3,15.36
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28,39.45
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3,9.45
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7,7.84
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
144.0,0.0,175.0,158.0,18.0,943.0,844.0,28,15.42
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,27.68
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,68.3
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06
288.0,192.0,0.0,192.0,0.0,932.0,717.8,3,16.11
164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28,18.03
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28,37.36
254.0,0.0,0.0,198.0,0.0,968.0,863.0,3,9.31
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,10.34
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
149.0,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28,25.1
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6
281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28,22.44
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28,26.97
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,28,38.21
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28,41.41
234.0,156.0,0.0,189.0,5.9,981.0,760.0,28,39.3
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7,17.24
424.0,22.0,132.0,168.0,8.9,822.0,750.0,3,32.11
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
252.0,97.0,76.0,194.0,8.0,835.0,821.0,28,33.4
480.0,0.0,0.0,192.0,0.0,936.2,712.2,3,24.4
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,100,37.96
325.6,166.4,0.0,174.0,8.9,881.6,790.0,28,61.24
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,44.42
333.0,17.5,163.0,167.0,17.9,996.0,652.0,28,47.28
424.0,22.0,132.0,178.0,8.5,822.0,750.0,7,39.0
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28,32.66
164.0,0.0,200.0,181.0,13.0,849.0,846.0,28,15.09
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,28,20.87
500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28,69.84
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,4.57
153.0,102.0,0.0,192.0,0.0,888.0,943.1,3,4.78
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1
144.0,170.0,133.0,192.0,8.0,814.0,805.0,28,29.87
330.5,169.6,0.0,194.9,8.1,811.0,802.3,28,56.62
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.7
331.0,0.0,0.0,192.0,0.0,978.0,825.0,90,37.23
387.0,20.0,94.0,157.0,14.3,938.0,845.0,28,50.24
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,32.72
321.0,0.0,128.0,182.0,11.0,870.0,780.0,28,37.26
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,14,42.22
290.4,0.0,96.2,168.1,9.4,961.2,865.0,14,34.67
288.0,192.0,0.0,192.0,0.0,932.0,717.8,90,50.53
146.5,114.6,89.3,201.9,8.8,860.0,829.5,28,19.99
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,23.8
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14,24.99
193.5,290.2,0.0,185.7,0.0,998.2,704.3,28,32.63
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,56,44.14
255.0,0.0,0.0,192.0,0.0,889.8,945.0,3,8.2
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,14,38.77
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90,43.57
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
290.4,0.0,96.2,168.1,9.4,961.2,865.0,100,48.97
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,3,16.28
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89
336.0,0.0,0.0,182.0,3.0,986.0,817.0,28,44.86
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7
146.0,173.0,0.0,182.0,3.0,986.0,817.0,28,23.74
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,56,36.3
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28,17.6
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100,66.42
284.0,15.0,141.0,179.0,5.5,842.0,801.0,28,43.73
331.0,170.0,0.0,195.0,8.0,811.0,802.0,28,56.61
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.6
249.1,0.0,98.8,158.1,12.8,987.8,889.0,56,42.03
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,56,35.57
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.93
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28,33.61
522.0,0.0,0.0,146.0,0.0,896.0,896.0,7,50.51
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
202.0,11.0,141.0,206.0,1.7,942.0,801.0,56,23.25
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.8
322.0,0.0,0.0,203.0,0.0,974.0,800.0,28,25.18
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,28,37.4
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
304.0,140.0,0.0,214.0,6.0,895.0,722.0,28,33.42
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7,13.71
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270,74.17
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14,29.93
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,28,44.64
150.9,0.0,183.9,166.6,11.6,991.2,772.2,28,15.57
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90,31.02
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
298.0,0.0,107.0,164.0,13.0,953.0,784.0,28,35.86
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28,22.35
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28,24.9
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90,33.19
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,28,29.65
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14,22.32
145.0,116.0,119.0,184.0,5.7,833.0,880.0,28,29.16
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7,19.77
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,28,30.22
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7
528.0,0.0,0.0,185.0,6.9,920.0,720.0,28,56.83
359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,66.78
491.0,26.0,123.0,201.0,3.9,822.0,699.0,56,61.86
164.0,163.0,128.0,197.0,8.0,961.0,641.0,28,27.23
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28,40.15
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5
322.2,0.0,115.6,196.0,10.4,817.9,813.4,28,31.18
236.0,0.0,0.0,194.0,0.0,968.0,885.0,90,21.95
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7,24.0
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28,22.93
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28,27.87
108.3,162.4,0.0,203.5,0.0,938.2,849.0,28,20.59
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28,27.83
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,35.1
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
264.5,111.0,86.5,195.5,5.9,832.6,790.4,28,41.54
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1
277.1,0.0,97.4,160.6,11.8,973.9,875.6,3,23.14
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28,39.38
284.0,15.0,141.0,179.0,5.5,842.0,801.0,3,13.4
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28,45.94
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14,24.92
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,40.23
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,69.3
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.02
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28,49.25
491.0,26.0,123.0,210.0,3.9,882.0,699.0,7,33.49
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.2
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.33
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3
289.0,134.0,0.0,195.0,6.0,924.0,760.0,28,46.24
